company_name,company_img,company_ALid,founder_name,founder_followers,founder_img,nfounder,founder_company_ALids,founder_score,ninvestor,investor_company_ALids,investor_score,nboard,board_company_ALids,board_score
Simperium,https://s3.amazonaws.com/photos.angel.co/startups/i/34103-dbf52bbebf96cf6300fd3d8a32e87001-medium_jpg.jpg?buster=1326844190,34103,Fred Cheng,2,https://s3.amazonaws.com/photos.angel.co/users/128142-medium_jpg?1337037317,1,[34103],10,0,[34103],0.0,0,[34103],0.0
Simplee,https://s3.amazonaws.com/photos.angel.co/startups/i/53715-22a37141cd6c4ce3be026c3497644201-medium_jpg.jpg?buster=1336589824,53715,Tomer Shoval,130,https://s3.amazonaws.com/photos.angel.co/users/93360-medium_jpg?1328374472,1,[53715],8,0,[53715],0.0,0,[53715],0.0
SmartAsset,https://s3.amazonaws.com/photos.angel.co/startups/i/85122-c742a92e24a483c4037d5ad2ec4070cb-medium_jpg.jpg?buster=1335286337,85122,Philip Camilleri,104,https://s3.amazonaws.com/photos.angel.co/users/32683-medium_jpg?1329836305,1,[85122],9,0,[85122],0.0,0,[85122],0.0
SmartAsset,https://s3.amazonaws.com/photos.angel.co/startups/i/85122-c742a92e24a483c4037d5ad2ec4070cb-medium_jpg.jpg?buster=1335286337,85122,Michael Carvin,16,https://s3.amazonaws.com/photos.angel.co/users/26423-medium_jpg?1335202784,1,[85122],9,0,[85122],0.0,0,[85122],0.0
Snapjoy,https://s3.amazonaws.com/photos.angel.co/startups/i/53145-e30a9adbf809000def7e3955038a952f-medium_jpg.jpg?buster=1349165643,53145,Michael Dwan,63,https://s3.amazonaws.com/photos.angel.co/users/156417-medium_jpg?1351971800,1,[53145],8,0,[53145],0.0,0,[53145],0.0
Snapjoy,https://s3.amazonaws.com/photos.angel.co/startups/i/53145-e30a9adbf809000def7e3955038a952f-medium_jpg.jpg?buster=1349165643,53145,JP Ren,44,https://s3.amazonaws.com/photos.angel.co/users/67744-medium_jpg?1319506104,1,[53145],8,0,[53145],0.0,0,[53145],0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Sumon Sadhu,340,https://s3.amazonaws.com/photos.angel.co/users/89571-medium_jpg?1348869088,1,[36043],6,4,[36043],32,0,[36043],0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Jamie Quint,653,https://s3.amazonaws.com/photos.angel.co/users/1387-medium_jpg?1354597804,2,"[36043, 77760]",14,1,"[36043, 77760]",9,0,"[36043, 77760]",0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Tim Davey,113,https://s3.amazonaws.com/photos.angel.co/users/109164-medium_jpg?1377098405,2,"[36781, 36043]",13,0,"[36781, 36043]",0.0,0,"[36781, 36043]",0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Brad Cater,33,https://s3.amazonaws.com/photos.angel.co/users/77965-medium_jpg?1323047191,1,[36043],6,0,[36043],0.0,0,[36043],0.0
